A1,PEOPLE,AGREE
A1,BHUMJAITHAI,NO_RIGHT
A1,NO_VOTE,DISAGREE
A1,PEOPLE,AGREE
A1,DEMOCRAT,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PHEU_THAI,AGREE
A1,PEOPLE,AGREE
A1,OTHER,NO_RIGHT
A1,PEOPLE,AGREE
A1,OTHER,AGREE
A1,PEOPLE,AGREE
A1,OTHER,DISAGREE
A1,PEOPLE,NO_RIGHT
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,OTHER,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,
A1,PEOPLE,AGREE
A1,THAI_SANG_THAI,AGREE
A1,PEOPLE,NO_RIGHT
A1,BHUMJAITHAI,DISAGREE
A1,BHUMJAITHAI,DISAGREE
A1,PEOPLE,NO_RIGHT
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,OTHER,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PHEU_THAI,
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,BHUMJAITHAI,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,DEMOCRAT,NO_RIGHT
STATIONID,PARTYCODE,REFERENDUM
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,OTHER,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,DEMOCRAT,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,BHUMJAITHAI,AGREE
A1,PEOPLE,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,DISAGREE
A1,PEOPLE,AGREE
A1,PEOPLE,NO_RIGHT
A1,PEOPLE,AGREE
A1,DEMOCRAT,AGREE
A1,PEOPLE,AGREE
A1,BHUMJAITHAI,AGREE
A1,DEMOCRAT,AGREE
