PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
OTHER,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
BHUMJAITHAI,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
DEMOCRAT,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
OTHER,DISAGREE
PEOPLE,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
OTHER,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PHEU_THAI,AGREE
PEOPLE,AGREE
BHUMJAITHAI,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PHEU_THAI,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,DISAGREE
PEOPLE,AGREE
PEOPLE,AGREE
UTN,AGREE
PEOPLE,AGREE
PHEU_THAI,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,NO_RIGHT
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
NO_VOTE,
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
PEOPLE,AGREE
BHUMJAITHAI,DISAGREE
NO_VOTE,NO_RIGHT
PEOPLE,AGREE
